SMILES;Molecular_weight;LogP;Number_of_HBA_1;Number_of_HBA_2;Number_of_HBD_1;Number_of_HBD_2;Number_of_acidic_groups;Number_of_aliphatic_OH_groups;Number_of_basic_groups;Fraction_of_rotatable_bonds;Number_of_heavy_bonds;Number_of_heterocycles;Number_of_hydrophobic_groups;MolarRefractivity;Number_of_atoms;Number_of_halogen_atoms;Number_of_B_atoms;Number_of_Br_atoms;Number_of_Cl_atoms;Number_of_I_atoms;Number_of_F_atoms;Number_of_N_atoms;Number_of_O_atoms;Number_of_P_atoms;Number_of_S_atoms;Number_of_bonds;Number_of_NO2_groups;Number_of_SO_groups;Number_of_OSO_groups;Number_of_SO2_groups;PolarSurfaceArea;Geometrical_diameter;Geometrical_radius;Geometrical_shape_coefficient;Kier_shape_1;Kier_shape_2;Zagreb_group_index_1;Zagreb_group_index_2;abonds;atoms;bonds;dbonds;HBA1;HBA2;HBD;logP;MR;MW;nF;sbonds;tbonds;TPSA;MF;MW;Ncharges;C;Cl;F;N;O;S;P;H;Si;Al;RNH2;R2NH;R3N;ROPO3;ROH;RCHO;RCOR;RCOOH;RCOOR;ROR;RCCH;RCN;RINGS;AROMATIC;freq6
C=S;46.09400105;0.8619;3;1;0;0;0;0;0;0;1;0;0;16.826;4;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;32.09;2.445173972;1.102125569;1.218598352;2;0;10;3;0;4;3;1;3;1;0;0.6159;14.712;46.09158;0;2;0;32.09;CS;44.0757;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3024.6155
CF;34.03299892;1.373;3;0;0;0;0;0;0;0;1;0;0;10.143;5;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;1.996282655;1.091786814;0.828454629;2;0;17;4;0;5;4;0;3;0;0;0.5857;6.972;34.0329232;1;4;0;0;CF;31.0091032;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2998.438
FP(F)F;87.9679985;2.1218;1;0;0;0;0;0;0;0;3;0;0;10.244;4;3;0;0;0;0;3;0;0;1;0;3;0;0;0;0;13.59;2.318604619;1.574958514;0.472168695;4;1.333333333;12;9;0;4;3;0;1;0;0;2.1218;10.244;87.9689706;3;3;0;13.59;F3P;87.9689716;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FSSF;102.1300011;2.1368;2;2;0;0;0;0;0;0.333333333;3;0;0;17.398;4;2;0;0;0;0;2;0;0;0;2;3;0;0;0;0;50.6;4.012536762;1.589216819;1.524851685;4;3;10;8;0;4;3;0;2;2;0;2.1368;17.398;102.1268064;2;3;0;50.6;F2S2;102.1268064;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;717
F[SiH3];50.10799968;-1.5668;4;0;1;0;0;0;0;0;1;0;0;9.0972;5;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;2.514840289;1.484950291;0.693551835;2;0;17;4;0;5;4;0;4;0;1;-0.7637;11.047;50.1077232;1;4;0;0;H3FSi;50.1077232;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2209.0552
F[SiH](F)F;86.08799803;0.3444;2;0;1;0;0;0;0;0;3;0;0;5.7332;5;3;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;2.605515435;1.484897283;0.754677219;4;1.333333333;19;12;0;5;4;0;2;0;1;0.6121;10.473;86.0886496;3;4;0;0;HF3Si;86.0886496;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2315.6
N#SCl;81.52700043;1.35278;1;2;0;0;0;0;0;0;2;0;0;15.169;3;1;0;0;1;0;0;1;0;0;1;2;0;0;0;0;23.79;2.599787622;1.367559763;0.901041325;3;2;6;4;0;3;2;0;1;2;0;1.35278;15.169;81.5247;0;1;1;23.79;ClNS;81.5247;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N(=N/F)\F;66.00999832;1.2076;2;2;0;0;0;0;0;0;3;0;0;7.072;4;2;0;0;0;0;2;2;0;0;0;3;0;0;0;0;24.72;3.348231991;1.243022491;1.693621407;4;3;10;8;0;4;3;1;2;2;0;1.2076;7.072;66.0102064;2;2;0;24.72;F2N2;66.0102064;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1522
N(=O)Cl;65.45899868;0.9066;2;2;0;0;0;0;0;0;2;0;0;11.648;3;1;0;0;1;0;0;1;1;0;0;2;0;0;0;0;29.43;2.42467939;1.234949835;0.963382902;3;2;6;4;0;3;2;1;2;2;0;0.9066;11.648;65.4591;0;1;0;29.43;ClNO;65.4591;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N(=O)F;49.00399876;0.6373;2;2;0;0;0;0;0;0;2;0;0;6.903;3;1;0;0;0;0;1;1;1;0;0;2;0;0;0;0;29.43;2.125786929;1.234980995;0.721311451;3;2;6;4;0;3;2;1;2;2;0;0.6373;6.903;49.0045032;1;1;0;29.43;FNO;49.0045032;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
